ID,,,,,,,gender,age,college,white,knowledge_counter,extraversion,agreeable,consecientious,emotionally_stable,open_new_experiences,political_interest,strong_partisan,percent_other_party_exposure,democrat,sevenpoint_ideology,regionMidwest,regionSouth,regionWest,,republican,,,,displayCondition,chatID_full,,,,,,
ID,depolarization_index_1issue_change,affect_index_change,issue_index_global_change,other_party_change,social_distance_change,outgroup_stereotype_change,What is your gender? 1 refers to Male and 2 refers to Female,What is your age?,Do you have a college education?,Are you white?,"On a scale from 0 to 3, where 0 means ""Not at All Knowledgeable"" and 3 means ""Very Knowledgeable,"" please rate the following statement: I consider myself knowledgeable about political issues and events.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is extraverted, enthusiastic, unreserved, and loud.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is uncritical, peaceful, sympathetic, and warm.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who dependable, self-disciplined, organised, and careful.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is calm, not easily upset, calm, emotionally stable.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is open to new experiences, complex, unconventional, and creative.","On a scale from 1 to 4, where 1 means ""Not at All Interested"" and 4 means ""Very Interested,"" please rate your level of interest in politics.",Do you strongly align with your current political party and actively support its policies and candidates?,"On a scale from 0 to 100, where 0 means ""No Exposure"" and 100 means ""Extensive Exposure,"" please indicate the percentage of your political information and interactions that come from sources affiliated with parties other than your own.",Are you a democrat?,"On a scale from 1 to 7, where 1 means ""Very Liberal,"" 4 means ""Moderate,"" and 7 means ""Very Conservative,"" please rate your political ideology.",Do you live in the midwest region of the United States?,Do you live in the south region of the United States?,Do you live in the west region of the United States?,faminc_val,Are you a republican?,faminc_notsay,fully_compliant,treatment_assigned,displayCondition,chatID_full,fully_compliant_CORRECT,fully_compliant_INCORRECT,fully_compliant_NONE,treatment_assigned_CORRECT,treatment_assigned_INCORRECT,treatment_assigned_NONE
3,0.644359108,0.067592593,0.02,-0.075,-0.166666667,-0.111111111,2,43,1,1,3,2,1,1,1,1,4,1,20,1,1,TRUE,FALSE,FALSE,-0.636716472,0,FALSE,0,0,ROBUST,ROBUST_4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,0.70429949,0.045740741,0.05,0.015,-0.066666667,-0.055555556,1,26,1,1,3,2.5,1,2.5,4.5,3,4,1,5,1,1,TRUE,FALSE,FALSE,-0.348360595,0,FALSE,0,0,CONTROL,CONTROL_6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,0.26019575,0.078703704,-0.043333333,0.075,-0.133333333,-0.027777778,1,28,0,1,3,7,3.5,5,6.5,2.5,3,0,5,1,1,FALSE,FALSE,FALSE,-0.780894411,0,FALSE,0,0,CONTROL,CONTROL_16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,-0.726095993,-0.09537037,-0.003333333,-0.125,0.133333333,0.027777778,2,41,1,1,1,7,1,4,3.5,4.5,2,0,30,1,2,TRUE,FALSE,FALSE,-0.060004718,0,FALSE,0,0,ROBUST,ROBUST_18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,-0.430480926,-0.091851852,0.033333333,-0.22,0,0.055555556,2,55,1,0,1,6.5,1,1.5,1,1.5,2,1,0,1,2,FALSE,TRUE,FALSE,-0.636716472,0,FALSE,0,0,ROBUST,ROBUST_19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,-0.592592415,-0.030555556,-0.05,-0.025,0.066666667,0,1,38,1,1,2,7,3.5,1,4.5,1,4,0,20,1,1,TRUE,FALSE,FALSE,-0.852976171,0,FALSE,0,0,ROBUST,ROBUST_26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,0.754703903,0.070925926,0.031666667,0.035,-0.066666667,-0.111111111,1,80,1,1,3,2,2,1.5,2.5,3.5,3,0,0,0,6,FALSE,FALSE,FALSE,-0.204182657,1,FALSE,0,0,CONTROL,CONTROL_27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,-0.002724563,-0.09037037,0.09,-0.16,0.166666667,-0.055555556,2,62,1,1,2,4,1,1,2.5,2,4,0,30,1,3,FALSE,TRUE,FALSE,-0.492538534,0,FALSE,0,0,CONTROL,CONTROL_36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,-2.096551094,-0.058333333,-0.226666667,,0.45,-0.333333333,2,66,0,0,2,5,3.5,5,4,4,3,1,,1,2,TRUE,FALSE,FALSE,-0.780894411,0,FALSE,0,0,ROBUST,ROBUST_38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,-1.265559432,-0.17537037,0.003333333,-0.015,0.233333333,0.277777778,2,59,1,1,1,1,1.5,1,1,1.5,3,1,2,0,6,FALSE,TRUE,FALSE,0.084173221,1,FALSE,0,0,CONTROL,CONTROL_44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,0.200255368,0.007222222,0.02,-0.045,-0.15,0.083333333,1,66,1,1,3,5,2.5,2,3,3,4,1,35,1,2,FALSE,TRUE,FALSE,-0.492538534,0,FALSE,0,0,ROBUST,ROBUST_46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,-1.332311222,-0.064444444,-0.116666667,-0.01,0.183333333,0,2,50,0,1,1,4,2,1.5,1.5,3.5,4,1,5,0,6,FALSE,TRUE,FALSE,-0.060004718,1,FALSE,0,0,ROBUST,ROBUST_47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,-0.34738176,-0.017222222,-0.03,0.015,0.066666667,0,2,50,0,1,1,3.5,3.5,2.5,2,3,3,0,50,1,4,FALSE,TRUE,FALSE,-0.636716472,0,FALSE,0,0,CONTROL,CONTROL_54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,2.130608129,0.096296296,0.193333333,0,-0.233333333,-0.055555556,1,58,0,1,3,1.5,3,1,4.5,1,4,1,10,1,1,FALSE,FALSE,TRUE,0.084173221,0,FALSE,0,0,ROBUST,ROBUST_61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,-1.8322685,-0.087407407,-0.161666667,-0.04,0,0.222222222,1,35,1,1,2,2.5,2.5,2.5,2.5,2.5,4,1,20,1,2,TRUE,FALSE,FALSE,0.588796006,0,FALSE,0,0,CONTROL,CONTROL_63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,0.479523057,0.045185185,0.02,-0.22,-0.3,-0.055555556,1,72,0,1,2,5.5,2,1.5,1.5,3.5,4,1,10,0,6,FALSE,FALSE,FALSE,-0.204182657,1,FALSE,0,0,ROBUST,ROBUST_65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,-0.961770677,-0.004074074,-0.126666667,0.11,0.15,-0.027777778,1,35,1,1,3,1,3.5,5.5,5.5,3,4,0,25,1,3,FALSE,FALSE,TRUE,-0.060004718,0,FALSE,0,0,ROBUST,ROBUST_67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,-0.764239873,-0.060555556,-0.043333333,-0.015,0.083333333,0.083333333,2,69,0,0,2,6.5,1,1,1.5,3.5,4,1,98,0,6,TRUE,FALSE,FALSE,-0.780894411,1,FALSE,0,0,ROBUST,ROBUST_83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,0.543550284,0.052222222,0.021666667,-0.01,0,-0.166666667,2,68,0,0,2,4.5,3.5,1,2.5,3,4,1,,0,7,FALSE,TRUE,FALSE,-0.997168528,1,TRUE,0,0,CONTROL,CONTROL_84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,0.644359108,-0.041296296,0.128888889,-0.135,-0.066666667,0.055555556,2,32,1,1,2,5,2.5,1.5,1,4,3,1,30,0,7,FALSE,TRUE,FALSE,-0.997168528,1,TRUE,0,0,ROBUST,ROBUST_86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,2.157853758,0.134444444,0.158888889,0.22,-0.266666667,0.083333333,1,56,0,0,3,2,3.5,1.5,2.5,3,3,0,20,0,6,TRUE,FALSE,FALSE,0.084173221,1,FALSE,0,0,CONTROL,CONTROL_100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,2.601957498,0.153703704,0.2,0.35,0,-0.111111111,2,32,1,1,2,5,5,1,4.5,3.5,2,1,50,0,5,FALSE,TRUE,FALSE,-0.997168528,1,TRUE,0,0,ROBUST,ROBUST_101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,-0.805108315,0.030555556,-0.14,,-0.033333333,-0.027777778,2,67,1,1,2,3.5,4,1.5,2.5,2.5,4,1,2,0,7,FALSE,TRUE,FALSE,-0.997168528,1,TRUE,0,0,ROBUST,ROBUST_108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
