ID,,,,,,,gender,age,college,white,knowledge_counter,extraversion,agreeable,consecientious,emotionally_stable,open_new_experiences,political_interest,strong_partisan,percent_other_party_exposure,democrat,sevenpoint_ideology,regionMidwest,regionSouth,regionWest,,republican,,,,displayCondition,chatID_full,,,,,,
ID,depolarization_index_1issue_change,affect_index_change,issue_index_global_change,other_party_change,social_distance_change,outgroup_stereotype_change,What is your gender? 1 refers to Male and 2 refers to Female,What is your age?,Do you have a college education?,Are you white?,"On a scale from 0 to 3, where 0 means ""Not at All Knowledgeable"" and 3 means ""Very Knowledgeable,"" please rate the following statement: I consider myself knowledgeable about political issues and events.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is extraverted, enthusiastic, unreserved, and loud.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is uncritical, peaceful, sympathetic, and warm.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who dependable, self-disciplined, organised, and careful.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is calm, not easily upset, calm, emotionally stable.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is open to new experiences, complex, unconventional, and creative.","On a scale from 1 to 4, where 1 means ""Not at All Interested"" and 4 means ""Very Interested,"" please rate your level of interest in politics.",Do you strongly align with your current political party and actively support its policies and candidates?,"On a scale from 0 to 100, where 0 means ""No Exposure"" and 100 means ""Extensive Exposure,"" please indicate the percentage of your political information and interactions that come from sources affiliated with parties other than your own.",Are you a democrat?,"On a scale from 1 to 7, where 1 means ""Very Liberal,"" 4 means ""Moderate,"" and 7 means ""Very Conservative,"" please rate your political ideology.",Do you live in the midwest region of the United States?,Do you live in the south region of the United States?,Do you live in the west region of the United States?,faminc_val,Are you a republican?,faminc_notsay,fully_compliant,treatment_assigned,displayCondition,chatID_full,fully_compliant_CORRECT,fully_compliant_INCORRECT,fully_compliant_NONE,treatment_assigned_CORRECT,treatment_assigned_INCORRECT,treatment_assigned_NONE
1,-1.050318969,-0.072777778,-0.07,-0.085,0.133333333,0,2,51,1,1,2,6,3,2,3,2,4,0,50,1,3,TRUE,FALSE,FALSE,0.588796006,0,FALSE,1,1,CORRECT,HoMHmgJylZR06D0YmVrB,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
14,-0.978118054,-0.132962963,0,-0.21,0.133333333,0.055555556,2,30,1,1,1,5,2,2.5,2.5,4,3,1,35,1,2,FALSE,FALSE,FALSE,0.084173221,0,FALSE,1,1,NONE,0FqUT0i4MFxsXKMoqwKP,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
15,-0.25065978,0.052592593,-0.086666667,0.13,0,-0.027777778,1,45,0,1,2,4,2,4.5,4,1.5,4,0,40,1,2,TRUE,FALSE,FALSE,-0.060004718,0,FALSE,1,1,NONE,ETlVRA2eds7HtI47VvYu,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
16,-0.170285177,-0.056481481,0.033333333,-0.075,0.066666667,0.027777778,2,36,1,1,3,5,4,5,6.5,4,4,1,30,1,1,FALSE,FALSE,TRUE,-0.636716472,0,FALSE,1,1,CORRECT,DO76E1BZZTZqCaPcxJRX,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
22,-0.281992252,-0.088333333,0.05,-0.015,0,0.25,1,41,1,1,3,7,2.5,1,1,5,3,0,30,1,4,FALSE,TRUE,FALSE,0.588796006,0,FALSE,1,1,CORRECT,0dwu0txhL7HyVh3HrSGE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
26,-1.294167342,-0.115925926,-0.06,-0.17,-0.016666667,0.194444444,2,46,0,1,2,3,1,5,5,3,3,1,15,1,1,TRUE,FALSE,FALSE,-0.780894411,0,FALSE,1,1,NONE,5RLTpN2NtCMuFrlfbg5h,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
35,0.166198332,-0.010740741,0.033333333,-0.06,0,-0.027777778,2,60,1,1,3,3.5,1.5,2.5,2,2.5,3,0,50,0,6,FALSE,TRUE,FALSE,0.300440129,1,FALSE,1,1,CORRECT,DO76E1BZZTZqCaPcxJRX,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
40,1.096636537,0.129074074,0.02,-0.035,-0.2,-0.222222222,2,74,1,1,3,3,4.5,2,1.5,2.5,4,1,20,0,6,FALSE,FALSE,TRUE,-0.997168528,1,TRUE,1,1,INCORRECT,FxDzqPMXtMJSMo2BesJK,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
48,2.378543347,0.2,0.123333333,-0.05,-0.566666667,-0.083333333,2,54,0,1,1,4,3.5,4,4.5,4,3,1,30,0,5,FALSE,FALSE,FALSE,-0.348360595,1,FALSE,1,1,NONE,0FqUT0i4MFxsXKMoqwKP,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
53,0.148488674,-0.039814815,0.06,-0.075,-0.066666667,0.111111111,2,64,1,1,3,4,1.5,2,1.5,2,4,1,50,1,3,FALSE,TRUE,FALSE,0.300440129,0,FALSE,1,1,NONE,0VLXzm8Vhz86Lh64SAEU,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
59,-0.750617058,-0.002037037,-0.1,0.105,0,0.111111111,2,31,0,1,1,6,4,1,3,2,2,0,,0,5,FALSE,FALSE,TRUE,-0.852976171,1,FALSE,1,1,INCORRECT,2L8UbM9Iy5EYO1SpQm8J,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
61,0.390974765,-0.006851852,0.06,0.035,0,0.055555556,1,62,1,1,3,2,2,1,1.5,1,4,1,,0,7,FALSE,FALSE,TRUE,3.328176839,1,FALSE,1,1,NONE,0w0Q9dzHAe3Tn48VDGsu,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
63,-1.206981332,-0.164074074,0,-0.07,0.2,0.222222222,2,72,1,1,3,6,1.5,1.5,4,4,4,1,50,0,6,FALSE,FALSE,TRUE,2.2468423,1,FALSE,1,1,NONE,5RLTpN2NtCMuFrlfbg5h,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
65,0.273818564,0.080555556,-0.043333333,0.025,-0.216666667,0,1,58,0,1,3,3,2.5,1,1.5,1,4,0,20,0,7,FALSE,TRUE,FALSE,0.949240852,1,FALSE,1,1,CORRECT,0vK0WFmYAnvUS9cZFsLU,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
70,0.361004574,-0.034259259,0.083333333,0.325,0.15,0.277777778,2,38,0,0,1,3.5,4.5,3,2,3.5,3,1,45,0,3,FALSE,TRUE,FALSE,-0.636716472,1,FALSE,1,1,NONE,K1qIkGCQ8hz33tyhNAJR,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
73,0.730182837,-0.054074074,0.153333333,-0.04,0.15,-0.027777778,1,73,1,1,3,2.5,3.5,1.5,1.5,3.5,4,1,50,0,6,FALSE,FALSE,FALSE,-0.997168528,1,TRUE,0,1,INCORRECT,LV5sfWxAqqGTzSsJINwM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
74,0.193443961,-0.077037037,0.103333333,-0.02,0.1,0.111111111,1,55,0,0,1,3,2,3,2,3,2,0,30,1,2,FALSE,TRUE,FALSE,0.084173221,0,FALSE,0,1,INCORRECT,KFlDvNH2NERftevcUOsJ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
80,0.587143289,-0.036851852,0.116666667,-0.005,0.05,0.055555556,1,67,0,1,2,4,1,1,2,3.5,4,0,30,0,6,FALSE,TRUE,FALSE,0.084173221,1,FALSE,1,1,INCORRECT,25xrHpZos4LpSYR9FJc5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
81,1.26283487,0.108333333,0.063333333,0.275,-0.3,0.25,2,45,0,1,1,4,2.5,2.5,2.5,2.5,3,1,50,1,2,FALSE,FALSE,FALSE,-0.636716472,0,FALSE,0,1,CORRECT,FducTCtXSBk5YahXM9Ss,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
83,-0.147126393,-0.003333333,-0.016666667,-0.01,0.166666667,-0.166666667,2,51,0,1,0,4.5,1,1,2.5,4.5,3,0,10,0,4,FALSE,FALSE,FALSE,0.084173221,1,FALSE,1,1,CORRECT,2bG3t36N9fpJdtEBnV60,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
84,-0.352830886,-0.027962963,-0.02,-0.045,0.066666667,-0.027777778,1,53,1,0,3,5.5,4,1,3,1.5,4,1,10,0,6,FALSE,FALSE,FALSE,3.328176839,1,FALSE,0,1,NONE,UgLaAcXbLOZwqflcrQZe,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
85,-2.398977568,-0.149444444,-0.176666667,-0.465,-0.016666667,0,1,25,0,1,1,4,4.5,4,4,4.5,3,0,11,0,5,FALSE,TRUE,FALSE,0.084173221,1,FALSE,1,1,INCORRECT,0rpmLs6RylSI948sAAFL,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
91,0.656619641,0.022592593,0.066666667,-0.06,-0.016666667,-0.111111111,1,57,0,1,2,5,1.5,2,3.5,3,4,1,30,0,6,FALSE,FALSE,TRUE,-0.636716472,1,FALSE,1,1,INCORRECT,1HLtZNv9Y1Ij0gGEXtSB,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
92,-0.550361691,-0.041481481,-0.033333333,-0.18,0,-0.055555556,2,74,1,1,3,2,3.5,2.5,5,2.5,4,1,20,1,1,FALSE,FALSE,FALSE,1.525952607,0,FALSE,1,1,NONE,Mn2IOKjea2t2CQHqAjMR,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
94,-0.444103741,-0.08037037,0.02,0.02,0.15,0.111111111,1,55,1,1,2,7,4,1,1,4,4,1,30,1,4,FALSE,FALSE,FALSE,0.300440129,0,FALSE,1,1,NONE,0w0Q9dzHAe3Tn48VDGsu,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
95,-0.459088836,-0.222407407,0.16,-0.595,-0.233333333,0.305555556,1,45,0,1,2,4.5,4.5,2,4.5,3.5,4,0,,1,4,FALSE,TRUE,FALSE,0.949240852,0,FALSE,1,1,CORRECT,M6SqlyRrGHMYvoeddJtk,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
99,-0.657981922,-0.056111111,-0.033333333,-0.035,0.133333333,0,2,53,1,0,2,4,1,1,1.5,3,4,1,0,1,2,FALSE,TRUE,FALSE,0.949240852,0,FALSE,1,1,CORRECT,1wXpjEamMaMsX3yMYD5l,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
