ID,,,,,,,gender,age,college,white,knowledge_counter,extraversion,agreeable,consecientious,emotionally_stable,open_new_experiences,political_interest,strong_partisan,percent_other_party_exposure,democrat,sevenpoint_ideology,regionMidwest,regionSouth,regionWest,,republican,,,,displayCondition,chatID_full,,,,,,
ID,depolarization_index_1issue_change,affect_index_change,issue_index_global_change,other_party_change,social_distance_change,outgroup_stereotype_change,What is your gender? 1 refers to Male and 2 refers to Female,What is your age?,Do you have a college education?,Are you white?,"On a scale from 0 to 3, where 0 means ""Not at All Knowledgeable"" and 3 means ""Very Knowledgeable,"" please rate the following statement: I consider myself knowledgeable about political issues and events.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is extraverted, enthusiastic, unreserved, and loud.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is uncritical, peaceful, sympathetic, and warm.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who dependable, self-disciplined, organised, and careful.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is calm, not easily upset, calm, emotionally stable.","On a scale from 1 to 7, where 1 means ""Disagree Strongly"" and 7 means ""Agree Strongly"", how well do the following statement describe your personality: I see myself as someone who is open to new experiences, complex, unconventional, and creative.","On a scale from 1 to 4, where 1 means ""Not at All Interested"" and 4 means ""Very Interested,"" please rate your level of interest in politics.",Do you strongly align with your current political party and actively support its policies and candidates?,"On a scale from 0 to 100, where 0 means ""No Exposure"" and 100 means ""Extensive Exposure,"" please indicate the percentage of your political information and interactions that come from sources affiliated with parties other than your own.",Are you a democrat?,"On a scale from 1 to 7, where 1 means ""Very Liberal,"" 4 means ""Moderate,"" and 7 means ""Very Conservative,"" please rate your political ideology.",Do you live in the midwest region of the United States?,Do you live in the south region of the United States?,Do you live in the west region of the United States?,faminc_val,Are you a republican?,faminc_notsay,fully_compliant,treatment_assigned,displayCondition,chatID_full,fully_compliant_CORRECT,fully_compliant_INCORRECT,fully_compliant_NONE,treatment_assigned_CORRECT,treatment_assigned_INCORRECT,treatment_assigned_NONE
2,0.474073932,0.137777778,-0.073333333,0.18,-0.233333333,0,1,56,0,0,3,4.5,3,2.5,1.5,3,3,0,10,1,4,FALSE,FALSE,FALSE,-0.492538534,0,FALSE,1,1,CORRECT,1UERijH7RvXUepisvbWJ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
5,0.82962938,-0.017222222,0.13,0.015,0.066666667,1.11e-16,1,72,1,1,3,4.5,3,1,1.5,2.5,3,1,15,1,2,FALSE,TRUE,FALSE,0.084173221,0,FALSE,1,1,INCORRECT,0Ggl2fSoialNGxJPMuQ7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
7,-1.046232125,-0.065555556,-0.076666667,-0.03,0,0.166666667,2,42,0,1,1,6.5,1.5,1.5,3,1,3,0,20,1,4,FALSE,TRUE,FALSE,-0.852976171,0,FALSE,1,1,CORRECT,0PlwinuOlg8i3LfXmOFb,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
8,0.514942374,-0.05,0.12,0.15,0.3,0,1,59,0,1,3,3,3,1.5,3,3,4,1,30,0,7,TRUE,FALSE,FALSE,-0.348360595,1,FALSE,1,1,INCORRECT,0Ggl2fSoialNGxJPMuQ7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
9,-0.561259942,0.057037037,-0.133333333,0.01,-0.133333333,-0.027777778,1,53,0,1,3,2.5,1,1,1,1,4,1,10,1,3,FALSE,TRUE,FALSE,-0.636716472,0,FALSE,1,1,INCORRECT,0ECFxYqUpOsOOKYj1J2L,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
11,1.194720799,0.200185185,-0.037777778,0.295,-0.083333333,-0.222222222,2,51,1,1,1,2,2,1,1.5,3.5,3,1,15,0,6,FALSE,TRUE,FALSE,-0.060004718,1,FALSE,1,1,CORRECT,05exNmbr40XKcY5yCzId,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
20,0.217965026,0.046296296,-0.016666667,0,0,-0.138888889,1,52,1,1,3,6.5,1.5,1,1.5,3,4,1,20,1,2,FALSE,FALSE,TRUE,-0.997168528,0,TRUE,1,1,INCORRECT,75VEj2jPUkEYXWy5GCKY,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,0.882758355,0.083333333,0.036666667,0,0,-0.25,1,67,1,1,3,1,1.5,1,1,1.5,4,1,10,1,3,FALSE,TRUE,FALSE,0.300440129,0,FALSE,1,1,CORRECT,05exNmbr40XKcY5yCzId,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
29,-0.862324134,-0.100555556,-0.016666667,-0.135,0,0.166666667,2,50,0,1,1,7,3,6,4.5,2,4,1,60,1,1,TRUE,FALSE,FALSE,-0.204182657,0,FALSE,1,1,INCORRECT,0PDtMkAAKfDKaBKcXUpM,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
37,0.959046115,0.10037037,0.03,-0.16,-0.266666667,-0.194444444,2,64,1,0,2,4,1.5,3.5,1.5,4,4,0,90,0,5,FALSE,FALSE,TRUE,-0.060004718,1,FALSE,1,1,INCORRECT,0PDtMkAAKfDKaBKcXUpM,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
39,-0.287441378,0.010925926,-0.05,0.005,0,-0.027777778,1,65,0,1,3,6,2.5,3.5,2.5,3.5,4,1,20,0,6,TRUE,FALSE,FALSE,0.300440129,1,FALSE,1,1,INCORRECT,1h32pJZ8H88MDFplY0SU,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
43,0.923626798,0.145555556,-0.02,-0.03,-0.3,-0.166666667,2,65,1,0,3,7,1.5,5,3,1,3,0,50,1,3,FALSE,TRUE,FALSE,-0.780894411,0,FALSE,1,1,INCORRECT,0q6SuqOOFv2lq7rCwwmk,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
